subgroup,modeldate,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo,timestamp
Adults,2/22/2018,43.45072,50.32001,36.58144,36.74122,43.38638,30.09606,08:14:09 22 Feb 2018
Voters,2/22/2018,47.48381,53.22227,41.74535,38.59378,42.85757,34.33,08:14:12 22 Feb 2018
All polls,2/22/2018,47.49622,53.10364,41.8888,38.71984,42.92828,34.51141,08:14:08 22 Feb 2018
Voters,2/21/2018,47.22224,52.99627,41.44822,38.81338,43.03325,34.59351,16:49:12 21 Feb 2018
Adults,2/21/2018,43.45072,50.32001,36.58144,36.74122,43.38638,30.09606,16:49:10 21 Feb 2018
All polls,2/21/2018,47.23425,52.86832,41.60019,38.93584,43.0932,34.77847,16:49:08 21 Feb 2018
Adults,2/20/2018,43.45072,50.32001,36.58144,36.74122,43.38638,30.09606,15:33:09 20 Feb 2018
Voters,2/20/2018,48.21008,53.96324,42.45692,39.57229,43.81274,35.33184,15:33:11 20 Feb 2018
All polls,2/20/2018,48.16857,53.77282,42.56432,39.66982,43.83553,35.50411,15:33:08 20 Feb 2018
Adults,2/19/2018,43.83087,50.67214,36.9896,37.64495,44.15026,31.13965,18:00:14 19 Feb 2018
Voters,2/19/2018,46.94528,52.27553,41.61502,40.38898,44.69345,36.08452,18:00:16 19 Feb 2018
All polls,2/19/2018,46.91566,52.10251,41.72882,40.45242,44.66106,36.24378,18:00:13 19 Feb 2018
Voters,2/18/2018,46.94528,52.27553,41.61502,40.38898,44.69345,36.08452,18:00:15 18 Feb 2018
Adults,2/18/2018,43.83087,50.67214,36.9896,37.64495,44.15026,31.13965,18:00:13 18 Feb 2018
All polls,2/18/2018,46.91566,52.10251,41.72882,40.45242,44.66106,36.24378,18:00:12 18 Feb 2018
Voters,2/17/2018,46.94528,52.27553,41.61502,40.38898,44.69345,36.08452,18:00:14 17 Feb 2018
Adults,2/17/2018,43.83087,50.67214,36.9896,37.64495,44.15026,31.13965,18:00:12 17 Feb 2018
All polls,2/17/2018,46.91566,52.10251,41.72882,40.45242,44.66106,36.24378,18:00:11 17 Feb 2018
Adults,2/16/2018,43.83087,50.67214,36.9896,37.64495,44.15026,31.13965,15:23:10 16 Feb 2018
Voters,2/16/2018,46.94528,52.27553,41.61502,40.38898,44.69345,36.08452,15:23:12 16 Feb 2018
All polls,2/16/2018,46.91566,52.10251,41.72882,40.45242,44.66106,36.24378,15:23:08 16 Feb 2018
Voters,2/15/2018,46.94408,52.27291,41.61525,40.30172,44.62786,35.97557,18:00:18 15 Feb 2018
Adults,2/15/2018,44.05613,50.91578,37.19649,37.21821,43.84671,30.5897,18:00:15 15 Feb 2018
All polls,2/15/2018,46.90895,52.09037,41.72753,40.36212,44.5877,36.13654,18:00:14 15 Feb 2018
Voters,2/14/2018,46.94408,52.27291,41.61525,40.30172,44.62786,35.97557,15:01:11 14 Feb 2018
Adults,2/14/2018,44.05613,50.91578,37.19649,37.21821,43.84671,30.5897,15:01:09 14 Feb 2018
All polls,2/14/2018,46.90895,52.09037,41.72753,40.36212,44.5877,36.13654,15:01:08 14 Feb 2018
Adults,2/13/2018,44.05613,50.91578,37.19649,37.21821,43.84671,30.5897,15:08:10 13 Feb 2018
Voters,2/13/2018,47.22633,52.46513,41.98754,40.0073,44.44188,35.57272,15:08:12 13 Feb 2018
All polls,2/13/2018,47.13035,52.20396,42.05675,40.07055,44.3924,35.74869,15:08:08 13 Feb 2018
Voters,2/12/2018,47.2069,52.60857,41.80522,40.1074,44.39953,35.81527,18:00:15 12 Feb 2018
Adults,2/12/2018,43.3955,50.43267,36.35832,37.97034,44.50384,31.43684,18:00:13 12 Feb 2018
All polls,2/12/2018,47.08486,52.30435,41.86538,40.17839,44.36607,35.99072,18:00:12 12 Feb 2018
Voters,2/11/2018,47.2069,52.60857,41.80522,40.1074,44.39953,35.81527,18:00:14 11 Feb 2018
Adults,2/11/2018,43.3955,50.43267,36.35832,37.97034,44.50384,31.43684,18:00:12 11 Feb 2018
All polls,2/11/2018,47.08486,52.30435,41.86538,40.17839,44.36607,35.99072,18:00:11 11 Feb 2018
Adults,2/10/2018,43.3955,50.43267,36.35832,37.97034,44.50384,31.43684,18:00:12 10 Feb 2018
Voters,2/10/2018,47.2069,52.60857,41.80522,40.1074,44.39953,35.81527,18:00:14 10 Feb 2018
All polls,2/10/2018,47.08486,52.30435,41.86538,40.17839,44.36607,35.99072,18:00:11 10 Feb 2018
Voters,2/9/2018,47.2069,52.60857,41.80522,40.1074,44.39953,35.81527,17:09:12  9 Feb 2018
Adults,2/9/2018,43.3955,50.43267,36.35832,37.97034,44.50384,31.43684,17:09:10  9 Feb 2018
All polls,2/9/2018,47.08486,52.30435,41.86538,40.17839,44.36607,35.99072,17:09:08  9 Feb 2018
Voters,2/8/2018,46.86537,52.25746,41.47328,40.18418,44.69323,35.67513,18:00:16  8 Feb 2018
Adults,2/8/2018,44.00521,51.02816,36.98227,37.54309,44.26688,30.81929,18:00:14  8 Feb 2018
All polls,2/8/2018,46.7079,51.90294,41.51287,40.2379,44.61374,35.86205,18:00:13  8 Feb 2018
Voters,2/7/2018,46.86537,52.25746,41.47328,40.18418,44.69323,35.67513,12:26:12  7 Feb 2018
Adults,2/7/2018,44.00521,51.02816,36.98227,37.54309,44.26688,30.81929,12:26:10  7 Feb 2018
All polls,2/7/2018,46.7079,51.90294,41.51287,40.2379,44.61374,35.86205,12:26:08  7 Feb 2018
Adults,2/6/2018,44.00521,51.02816,36.98227,37.54309,44.26688,30.81929,14:12:09  6 Feb 2018
Voters,2/6/2018,46.47311,51.98286,40.96337,40.31902,44.99344,35.6446,14:12:11  6 Feb 2018
All polls,2/6/2018,46.26094,51.54288,40.979,40.35575,44.86872,35.84278,14:12:08  6 Feb 2018
Adults,2/5/2018,42.77176,50.41183,35.13168,37.66586,44.23511,31.09661,18:00:13  5 Feb 2018
Voters,2/5/2018,45.98898,51.59904,40.37891,40.71843,45.33648,36.10038,18:00:16  5 Feb 2018
All polls,2/5/2018,45.74623,51.25236,40.2401,40.64555,45.15612,36.13497,18:00:12  5 Feb 2018
Voters,2/4/2018,45.98898,51.59904,40.37891,40.71843,45.33648,36.10038,18:00:16  4 Feb 2018
Adults,2/4/2018,42.77176,50.41183,35.13168,37.66586,44.23511,31.09661,18:00:13  4 Feb 2018
All polls,2/4/2018,45.74623,51.25236,40.2401,40.64555,45.15612,36.13497,18:00:12  4 Feb 2018
Adults,2/3/2018,42.77176,50.41183,35.13168,37.66586,44.23511,31.09661,18:00:12  3 Feb 2018
Voters,2/3/2018,45.98898,51.59904,40.37891,40.71843,45.33648,36.10038,18:00:14  3 Feb 2018
All polls,2/3/2018,45.74623,51.25236,40.2401,40.64555,45.15612,36.13497,18:00:11  3 Feb 2018
Adults,2/2/2018,42.77176,50.41183,35.13168,37.66586,44.23511,31.09661,14:36:09  2 Feb 2018
Voters,2/2/2018,45.98898,51.59904,40.37891,40.71843,45.33648,36.10038,14:36:11  2 Feb 2018
All polls,2/2/2018,45.74623,51.25236,40.2401,40.64555,45.15612,36.13497,14:36:08  2 Feb 2018
Voters,2/1/2018,46.386,51.87926,40.89274,40.72608,45.35868,36.09348,20:23:10  1 Feb 2018
Adults,2/1/2018,43.92846,51.38314,36.47377,37.31632,44.08641,30.54623,20:23:08  1 Feb 2018
All polls,2/1/2018,46.09754,51.49788,40.6972,40.6559,45.19383,36.11796,20:23:07  1 Feb 2018
Voters,1/31/2018,46.386,51.87926,40.89274,40.72608,45.35868,36.09348,13:55:12 31 Jan 2018
Adults,1/31/2018,43.42409,51.26812,35.58006,35.95891,42.6526,29.26522,13:55:10 31 Jan 2018
All polls,1/31/2018,46.40571,51.90009,40.91134,40.74902,45.35525,36.14278,13:55:09 31 Jan 2018
Adults,1/30/2018,43.42409,51.26812,35.58006,35.95891,42.6526,29.26522,16:47:08 30 Jan 2018
Voters,1/30/2018,46.27544,51.90449,40.6464,38.62226,42.85074,34.39379,16:47:10 30 Jan 2018
All polls,1/30/2018,46.29023,51.91503,40.66544,38.69234,42.90524,34.47944,16:47:07 30 Jan 2018
Voters,1/29/2018,46.0441,51.69147,40.39673,38.49602,42.71079,34.28125,11:55:12 29 Jan 2018
Adults,1/29/2018,43.80017,51.69339,35.90694,36.14373,42.90565,29.38181,11:55:10 29 Jan 2018
All polls,1/29/2018,46.05199,51.6921,40.41187,38.55753,42.75541,34.35966,11:55:09 29 Jan 2018
Adults,1/28/2018,43.80017,51.69339,35.90694,36.14373,42.90565,29.38181,18:00:12 28 Jan 2018
Voters,1/28/2018,46.43812,52.15664,40.7196,39.03729,43.30228,34.77231,18:00:14 28 Jan 2018
All polls,1/28/2018,46.44035,52.14711,40.7336,39.09499,43.34032,34.84965,18:00:11 28 Jan 2018
Adults,1/27/2018,43.80017,51.69339,35.90694,36.14373,42.90565,29.38181,18:00:13 27 Jan 2018
Voters,1/27/2018,46.43812,52.15664,40.7196,39.03729,43.30228,34.77231,18:00:15 27 Jan 2018
All polls,1/27/2018,46.44035,52.14711,40.7336,39.09499,43.34032,34.84965,18:00:12 27 Jan 2018
Voters,1/26/2018,46.43812,52.15664,40.7196,39.03729,43.30228,34.77231,16:59:11 26 Jan 2018
Adults,1/26/2018,43.80017,51.69339,35.90694,36.14373,42.90565,29.38181,16:59:09 26 Jan 2018
All polls,1/26/2018,46.44035,52.14711,40.7336,39.09499,43.34032,34.84965,16:59:08 26 Jan 2018
Voters,1/25/2018,46.44051,52.15756,40.72345,39.03081,43.26255,34.79907,18:00:16 25 Jan 2018
Adults,1/25/2018,43.62429,51.72088,35.52769,36.16865,43.06808,29.26921,18:00:14 25 Jan 2018
